Epoch;Training Loss;Validation Loss;Validation Accuracy (%);Epoch Duration (s)
1;0.49774765591472386;0.20803125182635324;90.92;458.68
2;0.25117876748144624;0.14801089720875352;94.32;495.92
3;0.18217786253839732;0.15702371166482906;95.16;511.32
4;0.14425417442955077;0.0989605566440558;96.24;516.25
5;0.1178855953858234;0.12506999301801333;96.68;517.80
Total time (s);;;;2499.96
Test Accuracy;;;95.8;
Precision Score;;;0.9593;
Recall Score;;;0.9580;
F1-Score;;;0.9581;
Multi-Class ROC-AUC;;;0.9963;